Metric,MKT,EWP,TAN,TAN-robust,GMV,GMV-robust
Return,1.0108333333333333,0.8038449612403101,1.1425597835469468,1.1960389997712477,0.9233318056516926,1.1767185760943533
Sigma,3.5023775419459975,4.010729349411479,3.9112612266527007,2.819181846727972,3.1756247011814893,2.930299735717805
Sharpe,0.2886134693439395,0.20042363650348624,0.29212055072188614,0.4242503906441533,0.2907559590741839,0.40156935543186156
