Industry,EWP,TAN,GMV,TAN-robust,GMV-robust
Food,0.023255813953488372,0.43939277037898133,0.04516951009002368,0.05382095273503512,0.08270895257450746
Beer,0.023255813953488372,0.10025697167970758,0.0001782950651207981,-0.01975781800525261,-0.007959784136288995
Toys,0.023255813953488372,-0.2620412228067715,-0.029766005509490528,-0.02873589886488272,-0.028379216422586572
Books,0.023255813953488372,-0.1727855070575935,0.11050346140696352,0.047468013832013635,0.05400744494278153
Hshld,0.023255813953488372,-0.19681906104570626,0.21864713057915808,0.1608765343739425,0.20726998604082206
Clths,0.023255813953488372,-0.056640165594316054,-0.08871844449492476,-0.04446856771493249,-0.05924713149610755
Hlth,0.023255813953488372,-0.08444424137260506,-0.045395292521854175,-0.04788742607823155,-0.05110630351670176
MedEq,0.023255813953488372,0.651834834694051,0.10254875957329122,0.10186014215718799,0.11247957217575882
Drugs,0.023255813953488372,0.09235599972556173,0.01454466388305804,0.036587201283234845,0.02364939672708252
Chems,0.023255813953488372,-0.36473055822273504,-0.14539887425771508,0.011355618461457526,-0.02066645422000077
Rubbr,0.023255813953488372,0.35304815398386624,-0.09898291611861854,0.010383857932323753,-0.01560622230175552
Txtls,0.023255813953488372,0.1250255248427242,-0.02315053268283129,-0.055659902771751875,-0.056990743772352415
BldMt,0.023255813953488372,-0.0025916835501285937,-0.07665581601425157,-0.012979289022634918,-0.045917322650662805
Cnstr,0.023255813953488372,-0.08166364506665844,-0.14665080865716287,-0.0505993936684372,-0.09043590750621777
Steel,0.023255813953488372,-0.4357058267120902,-0.09333213584806992,-0.02588855433596222,-0.061912901624981476
FabPr,0.023255813953488372,-0.054960764358167914,0.07623716827379035,0.015669261751145358,0.030449090163744703
Mach,0.023255813953488372,0.17706802967153956,-0.03852205042788867,0.03217006789830567,0.008027487567177766
ElcEq,0.023255813953488372,0.44335217078386446,-0.1260286569282261,-0.03062757719428483,-0.07829326738617987
Autos,0.023255813953488372,0.07035967671160127,-0.07845401283977747,-0.0430464323141582,-0.060440696037960435
Aero,0.023255813953488372,-0.08507516105088408,-0.1477086910957529,-0.04828847266278687,-0.0809222033524014
Ships,0.023255813953488372,-0.04695308414359045,-0.023374146314591757,-0.047014281733778,-0.0475944916135293
Guns,0.023255813953488372,0.287943987698429,0.10985531553580809,0.015850898638788555,0.05565136562644489
Gold,0.023255813953488372,-0.033392873181514196,0.055580660671766695,-0.010704373222314306,0.014693230653729033
Mines,0.023255813953488372,0.49020704443174257,0.014303011051079378,0.008888544631880178,0.00906462780013904
Coal,0.023255813953488372,0.04152864262600351,-0.02122969370690283,-0.05998093185957808,-0.061463877276162225
Oil,0.023255813953488372,0.22578238164297668,0.17194566611080295,0.1291191657135272,0.15822544324890767
Util,0.023255813953488372,0.43931295043640695,0.4323270102973081,0.2801712891271168,0.4240994912239486
Telcm,0.023255813953488372,-0.3631665647078985,0.08098687067041217,0.09772576436303619,0.09714305839245829
PerSv,0.023255813953488372,-0.42957375500784467,-0.02918172273851418,-0.015931431911544176,-0.019772891176396384
BusSv,0.023255813953488372,0.30880619804120646,-0.11417333749649512,0.015518122332658401,-0.022598562997484913
Comps,0.023255813953488372,-0.20721328025416466,0.09118809086645223,0.020476287750361255,0.024623789964760327
Chips,0.023255813953488372,0.2322897237975469,0.08462741562234105,0.01035752956979399,0.008673013091166621
LabEq,0.023255813953488372,-0.3329062002969589,-0.034302233122256186,-0.018566944180704228,-0.04150842406835527
Paper,0.023255813953488372,0.24046351721708073,0.14209009183707677,0.0592157943682933,0.07805875890671281
Boxes,0.023255813953488372,-0.007869455671429262,0.12129592243045202,0.0354813617245793,0.06387852940189566
Trans,0.023255813953488372,0.1612404265665634,0.271662791888785,0.13007505971037908,0.17711544080627548
Whlsl,0.023255813953488372,-0.5068977425098545,-0.0017374914967403432,0.14164977794308314,0.12559951270073688
Rtail,0.023255813953488372,0.14418633196866668,0.21174778466395397,0.10033059023938883,0.12335195652195967
Meals,0.023255813953488372,0.1585048315690959,0.05882041278071051,0.06017062339103098,0.07299443532813399
Banks,0.023255813953488372,-0.10272764806087328,-0.10290583093077524,-0.04133737121150333,-0.07720800342114886
Insur,0.023255813953488372,-0.41249745541123356,-0.07596767064180347,-0.007962564544248452,-0.04438661518423151
RlEst,0.023255813953488372,-0.39404398243160116,0.09161187556816561,0.008276353088401417,0.03208427454306059
Fin,0.023255813953488372,0.4517397100470036,0.03576445497812277,0.025938418280020976,-0.011437838240698526
