,MKT,EWP,GMV,TAN
mu,0.5614666666666667,0.6628790697674418,0.4741767164545835,2.0481499061474464
sigma,4.657505093345293,4.866939270120367,2.863372462496404,5.950888303897174
Sharpe,0.12055095065143309,0.1362003988496548,0.1656007811296673,0.3441754913810321
